Province Name,Province Code,Name,Code,N Code
Province 1,1,Taplejung,1,1
Province 1,1,Panchthar,2,2
Province 1,1,Ilam,3,3
Province 1,1,Jhapa,4,4
Province 1,1,Morang,5,5
Province 1,1,Sunsari,6,6
Province 1,1,Dhankuta,7,7
Province 1,1,Terhathum,8,8
Province 1,1,Sankhuwasabha,9,9
Province 1,1,Bhojpur,10,10
Province 1,1,Solukhumbu,11,11
Province 1,1,Khotang,12,12
Province 1,1,Okhaldhunga,13,13
Province 1,1,Udayapur,14,14
Province 2,2,Saptari,15,15
Province 2,2,Siraha,16,16
Province 2,2,Dhanusha,17,17
Province 2,2,Mahottari,18,18
Province 2,2,Sarlahi,19,19
Bagmati Province,3,Sindhuli,20,20
Bagmati Province,3,Ramechhap,21,21
Bagmati Province,3,Dolakha,22,22
Bagmati Province,3,Sindhupalchok,23,23
Bagmati Province,3,Kabhrepalanchok,24,24
Bagmati Province,3,Lalitpur,25,25
Bagmati Province,3,Bhaktapur,26,26
Bagmati Province,3,Kathmandu,27,27
Bagmati Province,3,Nuwakot,28,28
Bagmati Province,3,Rasuwa,29,29
Bagmati Province,3,Dhading,30,30
Bagmati Province,3,Makawanpur,31,31
Province 2,2,Rautahat,32,32
Province 2,2,Bara,33,33
Province 2,2,Parsa,34,34
Bagmati Province,3,Chitawan,35,35
Gandaki Province,4,Gorkha,36,36
Gandaki Province,4,Lamjung,37,37
Gandaki Province,4,Manang,38,38
Gandaki Province,4,Kaski,39,39
Gandaki Province,4,Tanahu,40,40
Gandaki Province,4,Syangja,41,41
Gandaki Province,4,Parbat,42,42
Gandaki Province,4,Baglung,43,43
Gandaki Province,4,Myagdi,44,44
Gandaki Province,4,Mustang,45,45
Province 5,5,Palpa,46,46
Gandaki Province,4,Nawalparasi East,47,47
Province 5,5,Nawalparasi West,76,76
Province 5,5,Rupandehi,48,48
Province 5,5,Kapilbastu,49,49
Province 5,5,Arghakhanchi,50,50
Province 5,5,Gulmi,51,51
Province 5,5,Rukum East,52,52
Karnali Province,6,Salyan,53,53
Province 5,5,Rolpa,54,54
Province 5,5,Pyuthan,55,55
Province 5,5,Dang,56,56
Province 5,5,Banke,57,57
Province 5,5,Bardiya,58,58
Karnali Province,6,Surkhet,59,59
Karnali Province,6,Jajarkot,60,60
Karnali Province,6,Dailekh,61,61
Karnali Province,6,Dolpa,62,62
Karnali Province,6,Jumla,63,63
Karnali Province,6,Kalikot,64,64
Karnali Province,6,Mugu,65,65
Karnali Province,6,Humla,66,66
Sudurpaschim Province,7,Bajhang,67,67
Sudurpaschim Province,7,Bajura,68,68
Sudurpaschim Province,7,Achham,69,69
Sudurpaschim Province,7,Doti,70,70
Sudurpaschim Province,7,Kailali,71,71
Sudurpaschim Province,7,Kanchanpur,72,72
Sudurpaschim Province,7,Dadeldhura,73,73
Sudurpaschim Province,7,Baitadi,74,74
Sudurpaschim Province,7,Darchula,75,75
Karnali Province,6,Rukum West,77,77
