Province Name,Province Code,District,District Code,Name,Municipality Type,Hlcit Code,Code
Province 1,1,Bhojpur,10,Aamchowk,Gaunpalika,524 1 10 4 006,96
Gandaki Province,4,Syangja,41,Aandhikhola,Gaunpalika,524 4 41 4 001,432
Gandaki Province,4,Gorkha,36,Aarughat,Gaunpalika,524 4 36 4 006,403
Karnali Province,6,Dailekh,61,Aathabis,Nagarpalika,524 6 61 3 001,618
Karnali Province,6,Rukum West,77,Aathbiskot,Nagarpalika,524 6 52 3 001,564
Province 1,1,Terhathum,8,Aathrai,Gaunpalika,524 1 08 4 003,80
Province 1,1,Taplejung,1,Aathrai Tribeni,Gaunpalika,524 1 01 4 006,1
Province 2,2,Dhanusha,17,Aaurahi,Gaunpalika,524 2 17 4 003,176
Karnali Province,6,Humla,66,Adanchuli,Gaunpalika,524 6 66 4 007,665
Province 2,2,Bara,33,Adarshkotwal,Gaunpalika,524 2 33 4 009,363
Sudurpaschim Province,7,Doti,70,Adharsha,Gaunpalika,524 7 70 4 001,706
Province 2,2,Saptari,15,Agnisair Krishna Savaran,Gaunpalika,524 2 15 4 002,140
Province 1,1,Khotang,12,Ainselukhark,Gaunpalika,524 1 12 4 001,121
Sudurpaschim Province,7,Dadeldhura,73,Ajaymeru,Gaunpalika,524 7 73 4 002,739
Gandaki Province,4,Gorkha,36,Ajirkot,Gaunpalika,524 4 36 4 002,404
Sudurpaschim Province,7,Dadeldhura,73,Alital,Gaunpalika,524 7 73 4 004,740
Sudurpaschim Province,7,Dadeldhura,73,Amargadhi,Nagarpalika,524 7 73 3 002,741
Gandaki Province,4,Tanahu,40,Anbukhaireni,Gaunpalika,524 4 40 4 005,422
Gandaki Province,4,Kaski,39,Annapurna,Gaunpalika,524 4 39 4 001,443
Gandaki Province,4,Myagdi,44,Annapurna,Gaunpalika,524 4 44 4 003,457
Sudurpaschim Province,7,Darchula,75,Apihimal,Gaunpalika,524 7 75 4 003,756
Gandaki Province,4,Syangja,41,Arjunchaupari,Gaunpalika,524 4 41 4 003,433
Province 1,1,Jhapa,4,Arjundhara,Nagarpalika,524 1 04 3 004,28
Province 2,2,Siraha,16,Arnama,Gaunpalika,524 2 16 4 003,159
Province 1,1,Bhojpur,10,Arun,Gaunpalika,524 1 10 4 003,97
Province 2,2,Siraha,16,Aurahi,Gaunpalika,524 2 16 4 004,160
Province 2,2,Mahottari,18,Aurahi,Nagarpalika,524 2 18 3 003,194
Province 5,5,Pyuthan,55,Aairawati,Gaunpalika,524 5 55 4 007,544
Province 5,5,Dang,56,Babai,Gaunpalika,524 5 56 4 001,581
Province 5,5,Bardiya,58,Badhaiyatal,Gaunpalika,524 5 58 4 002,599
Gandaki Province,4,Baglung,43,Badigad,Gaunpalika,524 4 43 4 003,471
Sudurpaschim Province,7,Doti,70,Badikedar,Gaunpalika,524 7 70 4 006,707
Sudurpaschim Province,7,Bajura,68,Badimalika,Nagarpalika,524 7 68 3 002,672
Karnali Province,6,Salyan,53,Bagchaur,Nagarpalika,524 6 53 3 002,571
Gandaki Province,4,Baglung,43,Baglung,Nagarpalika,524 4 43 3 003,472
Bagmati Province,3,Lalitpur,25,Bagmati,Gaunpalika,524 3 25 4 001,280
Bagmati Province,3,Makawanpur,31,Bagmati,Gaunpalika,524 3 31 4 008,333
Province 2,2,Sarlahi,19,Bagmati,Nagarpalika,524 2 19 3 001,209
Province 5,5,Palpa,46,Bagnaskali,Gaunpalika,524 5 46 4 005,494
Province 2,2,Parsa,34,Bahudaramai,Nagarpalika,524 2 34 3 002,380
Province 5,5,Banke,57,Baijanath,Gaunpalika,524 5 57 4 002,591
Bagmati Province,3,Dolakha,22,Baiteshwor,Gaunpalika,524 3 22 4 004,246
Bagmati Province,3,Makawanpur,31,Bakaiya,Gaunpalika,524 3 31 4 007,334
Province 2,2,Saptari,15,Balan,Bihul,524 2 15 4 004,141
Province 2,2,Sarlahi,19,Balara,Nagarpalika,524 2 19 3 011,210
Bagmati Province,3,Sindhupalchok,23,Balefi,Gaunpalika,524 3 23 4 006,255
Province 2,2,Mahottari,18,Balwa,Nagarpalika,524 2 18 3 007,195
Gandaki Province,4,Tanahu,40,Bandipur,Gaunpalika,524 4 40 4 004,423
Bagmati Province,3,Kabhrepalanchok,24,Banepa,Nagarpalika,524 3 24 3 002,267
Karnali Province,6,Rukum West,77,Banfikot,Gaunpalika,524 6 52 4 002,565
Karnali Province,6,Salyan,53,Bangad,Kupinde,524 6 53 3 001,572
Province 5,5,Kapilbastu,49,Banganga,Nagarpalika,524 5 49 3 003,528
Province 5,5,Dang,56,Banglachuli,Gaunpalika,524 5 56 4 005,582
Sudurpaschim Province,7,Achham,69,Bannigadhi,Jayagadh,524 7 69 4 003,695
Province 5,5,Bardiya,58,Bansagadhi,Nagarpalika,524 5 58 3 006,600
Province 2,2,Bara,33,Baragadhi,Gaunpalika,524 2 33 4 006,364
Province 1,1,Sunsari,6,Barah,Nagarpalika,524 1 06 3 001,60
Province 1,1,Khotang,12,Barahapokhari,Gaunpalika,524 1 12 4 007,122
Province 2,2,Sarlahi,19,Barahathawa,Nagarpalika,524 2 19 3 004,211
Karnali Province,6,Surkhet,59,Barahtal,Gaunpalika,524 6 59 4 002,609
Province 5,5,Bardiya,58,Barbardiya,Nagarpalika,524 5 58 3 005,602
Province 5,5,Nawalparasi West,76,Bardaghat,Nagarpalika,524 5 47 3 002,504
Sudurpaschim Province,7,Kailali,71,Bardagoriya,Gaunpalika,524 7 71 4 005,716
Province 2,2,Mahottari,18,Bardibas,Nagarpalika,524 2 18 3 001,196
Province 5,5,Bardiya,58,Bardiya,National Park,524 5 58 5 997,608
Karnali Province,6,Jajarkot,60,Barekot,Gaunpalika,524 6 60 4 003,629
Gandaki Province,4,Baglung,43,Bareng,Gaunpalika,524 4 43 4 006,473
Bagmati Province,3,Sindhupalchok,23,Barhabise,Nagarpalika,524 3 23 3 003,256
Province 1,1,Jhapa,4,Barhadashi,Gaunpalika,524 1 04 4 005,29
Gandaki Province,4,Mustang,45,Barhagaun,Muktikhsetra,524 4 45 4 003,452
Province 2,2,Siraha,16,Bariyarpatti,Gaunpalika,524 2 16 4 005,161
Province 1,1,Sunsari,6,Barju,Gaunpalika,524 1 06 4 006,61
Province 2,2,Sarlahi,19,Basbariya,Gaunpalika,524 2 19 4 001,212
Province 2,2,Dhanusha,17,Bateshwor,Gaunpalika,524 2 17 4 001,177
Province 2,2,Rautahat,32,Baudhimai,Nagarpalika,524 2 32 3 010,345
Sudurpaschim Province,7,Kanchanpur,72,Bedkot,Nagarpalika,524 7 72 3 003,729
Province 1,1,Udayapur,14,Belaka,Nagarpalika,524 1 14 3 004,131
Sudurpaschim Province,7,Kanchanpur,72,Belauri,Nagarpalika,524 7 72 3 006,730
Province 1,1,Morang,5,Belbari,Nagarpalika,524 1 05 3 003,43
Sudurpaschim Province,7,Kanchanpur,72,Beldandi,Gaunpalika,524 7 72 4 001,731
Province 2,2,Saptari,15,Belhi,Chapena,524 2 15 4 006,142
Bagmati Province,3,Nuwakot,28,Belkotgadhi,Nagarpalika,524 3 28 3 002,301
Gandaki Province,4,Myagdi,44,Beni,Nagarpalika,524 4 44 3 001,458
Bagmati Province,3,Dhading,30,Benighat,Rorang,524 3 30 4 008,320
Gandaki Province,4,Lamjung,37,Besishahar,Nagarpalika,524 4 37 3 002,414
Bagmati Province,3,Kabhrepalanchok,24,Bethanchowk,Gaunpalika,524 3 24 4 003,268
Province 1,1,Jhapa,4,Bhadrapur,Nagarpalika,524 1 04 3 008,30
Province 2,2,Siraha,16,Bhagawanpur,Gaunpalika,524 2 16 4 009,162
