"S.N.","Project Code","Partner Institution","Partner Code","Name of the Project","State","State Code","Project District","District Code","New Local Unit","Local Unit code","Branch","BLB","Extension Counter","Tablet","Other Major Products (Local units coverage)","Beneficiaries","S-CF Funds","Allocated Funds to Local Units","Allocated Beneficiaries at Local Units","Female Pct","Total Beneficiaries","Female Beneficiaries","Status","Start date","End Date","Project Year"
1,"1-2-055","Global IME Bank",9,"Reestablish Branch at Barhabise Including 3 BLB Points","Bagmati",3,"Sindhupalchowk",23,"Barhabise",256,0,1,0,0,0,391,982605,327535,130.333333333333,49,130,64,"Completed","2015-07-02","2018-07-01","Completed"
1,"1-2-055","Global IME Bank",9,"Reestablish Branch at Barhabise Including 3 BLB Points","Bagmati",3,"Sindhupalchowk",23,"Tripura Sundari",266,0,1,0,0,0,0,0,327535,130.333333333333,49,130,64,"Completed","2015-07-02","2018-07-01","Completed"
1,"1-2-055","Global IME Bank",9,"Reestablish Branch at Barhabise Including 3 BLB Points","Bagmati",3,"Sindhupalchowk",23,"Sunkoshi",265,0,1,0,0,0,0,0,327535,130.333333333333,49,130,64,"Completed","2015-07-02","2018-07-01","Completed"
2,"1-1-047","NMB Bank Ltd",33,"Dairy Financing","Sudurpaschim",7,"Bajhang",67,"Durgathali",685,0,0,0,0,1,1544,6939404.24,771044.915555556,171.555555555556,90,172,155,"Completed","2015-04-20","2018-04-19","Completed"
2,"1-1-047","NMB Bank Ltd",33,"Dairy Financing","Province 5",5,"Banke",57,"Baijanath",591,0,0,0,0,1,0,0,771044.915555556,171.555555555556,90,172,155,"Completed","2015-04-20","2018-04-19","Completed"
2,"1-1-047","NMB Bank Ltd",33,"Dairy Financing","Province 5",5,"Banke",57,"Kohalpur",595,0,0,0,0,1,0,0,771044.915555556,171.555555555556,90,172,155,"Completed","2015-04-20","2018-04-19","Completed"
2,"1-1-047","NMB Bank Ltd",33,"Dairy Financing","Province 5",5,"Dang",56,"Shantinagar",589,0,0,0,0,1,0,0,771044.915555556,171.555555555556,90,172,155,"Completed","2015-04-20","2018-04-19","Completed"
2,"1-1-047","NMB Bank Ltd",33,"Dairy Financing","Sudurpaschim",7,"Kailali",71,"Lamki Chuha",726,0,0,0,0,1,0,0,771044.915555556,171.555555555556,90,172,155,"Completed","2015-04-20","2018-04-19","Completed"
2,"1-1-047","NMB Bank Ltd",33,"Dairy Financing","Sudurpaschim",7,"Kailali",71,"Tikapur",728,0,0,0,0,1,0,0,771044.915555556,171.555555555556,90,172,155,"Completed","2015-04-20","2018-04-19","Completed"
2,"1-1-047","NMB Bank Ltd",33,"Dairy Financing","Sudurpaschim",7,"Kanchanpur",72,"Punarbas",736,0,0,0,0,1,0,0,771044.915555556,171.555555555556,90,172,155,"Completed","2015-04-20","2018-04-19","Completed"
2,"1-1-047","NMB Bank Ltd",33,"Dairy Financing","Province 5",5,"Palpa",46,"Tinau",503,0,0,0,0,1,0,0,771044.915555556,171.555555555556,90,172,155,"Completed","2015-04-20","2018-04-19","Completed"
2,"1-1-047","NMB Bank Ltd",33,"Dairy Financing","Karnali",6,"Surkhet",59,"Birendranagar",611,0,0,0,0,1,0,0,771044.915555556,171.555555555556,90,172,155,"Completed","2015-04-20","2018-04-19","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Kathmandu",27,"Chandragiri",291,0,1,0,0,0,3675,9451989.63,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Kavrepalanchowk",24,"Bhumlu",269,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Kavrepalanchowk",24,"Bethanchowk",268,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Kavrepalanchowk",24,"Mandan Deupur",274,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Kavrepalanchowk",24,"Panauti",276,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Makwanpur",31,"Manahari",340,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Makwanpur",31,"Makwanpurgadi",339,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Bhaktapur",26,"Changunarayan",287,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Kathmandu",27,"Tokha",300,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Kavrepalanchowk",24,"Dhulikhel",271,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Kavrepalanchowk",24,"Namo Buddha",275,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Makwanpur",31,"Bhimphedi",335,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
