Province No.,District,District_Code,Name of the Municipality / Rural Municipality,Local Unit Code,HLCIT,Head-Quarter of the Local Unit,HDI of District,Population in the Local Unit,Yearly Central Government Funding,Social Security Payment Recipients,Yearly Social Security Payments,Road distance from nearest Commercial Bank Branch (in KM),Available Means of Communication_Landline,Available Means of Communication_Mobile,Available Means of Communication_Internet,Available Means of Communication_OtherInternet,Availability of Electricity_MainGrid,Availability of Electricity_Micro-Hydro,Nearest Road Access_LocationName,Nearest Road Access_Distance,Nearest Road Access_TypeOfRoad,Nearest Police Presence_LocationName,Nearest Police Presence_Distance,Categorisation by Sakchyam
7,Baitadi,74,Pancheswor Rural Municipality,750,524 7 74 4 004,Aam Chaura,0.416,18766,237703000,3001,40622400,21,No,Yes,Yes,No,No,No,Aam Chaura,0,Soil,Kalau,5,A
7,Baitadi,74,Sigas Rural Municipality,754,524 7 74 4 006,Sigas,0.416,21510,303551000,2397,32757600,20,No,Yes,Yes,No,No,Yes,Sigas,-1,Soil,Gajari,6,A
7,Dadeldhura,73,Nava Durga Rural Municipality,744,524 7 73 4 003,Banchaura,0.442,19957,233961000,2600,41059200,8,No,Yes,Yes,No,No,Yes,Banchura,-1,Soil,Seri,1.5,B
7,Darchula,75,Api Himal Rural Municipality,756,524 7 75 4 003,Khandeshori,0.436,6719,151657000,399,7653600,18,No,Yes,Yes,No,No,Yes,Khandeshowi,0,Soil,Khandeshori,-1,B
7,Darchula,75,Duhu Rural Municipality,758,524 7 75 4 002,Hikila,0.436,10818,170933000,932,14208000,16,No,Yes,Yes,Yes,No,Yes,Hikila,-1,soil,Huti,5,A
7,Darchula,75,Lekam Rural Municipality,759,524 7 75 4 006,Kharkada,0.436,14838,225767000,1827,29457600,16,No,Yes,Yes,Yes,No,Yes,Airichhina,20,0,Chaupata,7.5,A
7,Darchula,75,Byas Rural Municipality,757,524 7 75 4 001,Sunsera,0.436,10347,196824000,815,13296000,-1,No,Yes,No,Yes,No,Yes,Dunhu,20,0,Sunsera,-1,A
7, Kailali,71, Mohnyal Rural Municipality,727,524 7 71 4 003, Khimdi,0.460,22053,295427000,2258,32666400,-1, No, Yes, Yes, No, No, No, Sukhad,  40 , Soil, Khimadi,-1, C
7,Doti,70,Sayal Rural Municipality,713,524 7 70 4 002,Daud (Dudaligada),0.407,19551,237321000,2479,31394400,45,No,Yes,Yes,No,No,No,Dudaligada,0,Soil,Dewarmandau,2,A
7, Bajhang,67,Masta Rural Municiaplity,690,524 7 67 4 008,Bhatekhola,0.365,14951,211957000,4338,39508800,20,No,yes,Yes,No,No,Yes,Bhatekhola,-1,soil,Chainpur,20,A
7, Bajhang,67,Kedar Syeu Rural Municipality,688,524 7 67 4 005,Deura,0.365,21307,283004000,5486,51266400,40,No,Yes,Yes,No,Yes,Yes,Deura,-1,pitched and soil,Bagthala,6,A
7,Achham,69,Turmakhand Rural Municipality,704,524 7 69 4 006,Turmakhand,0.378,24940,325228000,6289,62512800,26,No,Yes,Yes,No,No,No,Turmakhad,0,Soil,Turmakhand,-1,A
7,Achham,69,Dhakari Rural Municipality,697,524 7 69 4 005,Dhakari Bazaar,0.378,21562,304827000,5666,54468000,26,No,Yes,Yes,No,No,No,Dhakari Bazaar,0,Soil,Dhakari Bazaar,-1,A
7,Achham,69,Ramaroshan Rural Municipality,702,524 7 69 4 004,Santada (Muza Bagar),0.378,25166,307762000,5987,57429600,40,No,Yes,Yes,No,No,No,Muza Bagar,0,Soil,Santada,-1,C
7,Bajura,68,Himali Rural Municipality,677,524 7 68 4 001,Baandhu,0.364,9214,184137000,975,15148800,35,No,Yes,Yes,No,Yes,No,Kolti,12,Soil,Kolti,12.5,A
7,Bajura,68,Chhededah Rural Municipality,675,524 7 68 4 003,Dogadi Bazaar,0.364,18545,233963000,2074,30055200,30,No,Yes,Yes,No,No,Yes,Taprisera,10,Soil,Dogadi,-1,A
7,Bajura,68,Swami Kartik Rural Municipality,679,524 7 68 4 005,Wai,0.364,12784,214786000,1835,21890400,38,No,Yes,Yes,No,No,Yes,Kolti,7.5,Soil,Piluchaur,2.5,A
7,Bajura,68,Pandab Gufa Rural Municipality,678,524 7 68 4 004,Jagannath (Juddhi),0.364,9432,157655000,1330,16610400,37,No,Yes,Yes,No,No,Yes,Piluchaur,7.5,Soil,Piluchaur,7.5,A
7,Bajura,68,Triveni Municipality,680,524 7 68 3 004,Toli Dewal,0.364,18363,235521000,2419,33739200,12,No,Yes,Yes,Yes,No,Yes,Toli Dewal,-1,soil,Toli Dewal,-1,B
6,Jajarkot,60,Triveni Nalgadh Rural Municipality,635,524 6 60 3 003,Khagenkot,0.393,25597,336563000,2875,33770400,31,No,Yes,Yes,No,No,Yes,Khalanga,31,gravel road,Dalli,-1,A
6,Jajarkot,60,Barekot Rural Municipality,629,524 6 60 4 003,Nayakwada,0.393,18083,263190000,1715,20335200,50,No,Yes,Yes,No,No,Yes,Kalimato To Jumla Goreto,0.2,Gravel,Nayakbada,-1,A
6,Jajarkot,60,Junichande Rural Municipality,632,524 6 60 4 001,Majkot (Syalkhola),0.393,21733,282431000,2646,30352800,24,No,Yes,Yes,No,No,Yes,Thala To Dailekh bazar,150,Gravel,Garkhakot,-1,B
