S.N.,Partner Name,Partner Name ID
1,Agricultural Development Bank Limited,1
2,Bank of Kathmandu Limited,2
3,Chhimek Laghubitta,3
4,Citizens Bank International Limited,4
5,D' Rose Technologies Pvt. Ltd.,5
6,eSewa Fonepay Pvt. Ltd.,6
7,Everest Bank Limited,7
8,F1Soft International Pvt. Ltd.,8
9,Global IME Bank Limited,9
10,Himalayan Bank Limited,10
11,IME Digital Solution Limited,11
12,Janata Bank Limited,12
13,Janautthan Samudayik Laghubitta,13
14,Kanchan Development Bank Limited,14
15,Kisan Cooperative,15
16,Kisan Microfinance,16
17,Laxmi Bank Limited,17
18,Laxmi Laghubitta Bittiya Sanstha Ltd.,18
19,Machhapuchhre Bank Ltd,19
20,Mahila Sahayatra Laghubitta,20
21,Mega Bank Ltd,21
22,Nabil Bank Ltd.,22
23,NEFSCUN (Nepal Federation of Savings and Credit Cooperative Unions Ltd.),23
24,Nepal Bank Limited,24
25,Nepal Clearing House Ltd.,25
26,Nepal Insurer's Association,26
27,Nepal Investment Bank Limited,27
28,Nepal Microfinance Bankers' Association,28
29,Nepal Women Community Service Centre (NWCSC),29
30,Nerude Laghubitta,30
31,NIC Asia Bank Limited,31
32,Nirdhan Utthan Laghubitta,32
33,NMB Bank Ltd,33
34,NMB Laghubitta,34
35,Prabhu Bank Limited,35
36,Rastriya Banijya Bank Limited,36
37,RMDC Laghubitta Bittiya Sanstha Limited,37
38,Sahara Nepal Cooperative,38
39,Sana Kisan Bikas Laghubitta,39
40,Sanima Bank Limited,40
41,Shikhar Insurance Company Limited,41
42,Siddhartha Bank Ltd,42
43,Stonestep TFD Private Limited,43
44,Unique Nepal Laghubitta,44
45,Vijaya Laghubitta Bittiya Sanstha Ltd,45
46,Mahila Samudayik Laghubitta,46
